fips,county,HSR
11,Armstrong,HSR 1
17,Bailey,HSR 1
45,Briscoe,HSR 1
65,Carson,HSR 1
69,Castro,HSR 1
75,Childress,HSR 1
79,Cochran,HSR 1
87,Collingsworth,HSR 1
107,Crosby,HSR 1
111,Dallam,HSR 1
117,Deaf Smith,HSR 1
125,Dickens,HSR 1
129,Donley,HSR 1
153,Floyd,HSR 1
169,Garza,HSR 1
179,Gray,HSR 1
189,Hale,HSR 1
191,Hall,HSR 1
195,Hansford,HSR 1
205,Hartley,HSR 1
211,Hemphill,HSR 1
219,Hockley,HSR 1
233,Hutchinson,HSR 1
269,King,HSR 1
279,Lamb,HSR 1
295,Lipscomb,HSR 1
303,Lubbock,HSR 1
305,Lynn,HSR 1
341,Moore,HSR 1
345,Motley,HSR 1
357,Ochiltree,HSR 1
359,Oldham,HSR 1
369,Parmer,HSR 1
375,Potter,HSR 1
381,Randall,HSR 1
393,Roberts,HSR 1
421,Sherman,HSR 1
437,Swisher,HSR 1
445,Terry,HSR 1
483,Wheeler,HSR 1
501,Yoakum,HSR 1
7,Aransas,HSR 11
25,Bee,HSR 11
47,Brooks,HSR 11
61,Cameron,HSR 11
131,Duval,HSR 11
215,Hidalgo,HSR 11
247,Jim Hogg,HSR 11
249,Jim Wells,HSR 11
261,Kenedy,HSR 11
273,Kleberg,HSR 11
297,Live Oak,HSR 11
311,McMullen,HSR 11
355,Nueces,HSR 11
391,Refugio,HSR 11
409,San Patricio,HSR 11
427,Starr,HSR 11
479,Webb,HSR 11
489,Willacy,HSR 11
505,Zapata,HSR 11
9,Archer,HSR 2/3
23,Baylor,HSR 2/3
49,Brown,HSR 2/3
59,Callahan,HSR 2/3
77,Clay,HSR 2/3
83,Coleman,HSR 2/3
85,Collin,HSR 2/3
93,Comanche,HSR 2/3
97,Cooke,HSR 2/3
101,Cottle,HSR 2/3
113,Dallas,HSR 2/3
121,Denton,HSR 2/3
133,Eastland,HSR 2/3
139,Ellis,HSR 2/3
143,Erath,HSR 2/3
147,Fannin,HSR 2/3
151,Fisher,HSR 2/3
155,Foard,HSR 2/3
181,Grayson,HSR 2/3
197,Hardeman,HSR 2/3
207,Haskell,HSR 2/3
221,Hood,HSR 2/3
231,Hunt,HSR 2/3
237,Jack,HSR 2/3
251,Johnson,HSR 2/3
253,Jones,HSR 2/3
257,Kaufman,HSR 2/3
263,Kent,HSR 2/3
275,Knox,HSR 2/3
335,Mitchell,HSR 2/3
337,Montague,HSR 2/3
349,Navarro,HSR 2/3
353,Nolan,HSR 2/3
363,Palo Pinto,HSR 2/3
367,Parker,HSR 2/3
397,Rockwall,HSR 2/3
399,Runnels,HSR 2/3
415,Scurry,HSR 2/3
417,Shackelford,HSR 2/3
425,Somervell,HSR 2/3
429,Stephens,HSR 2/3
433,Stonewall,HSR 2/3
439,Tarrant,HSR 2/3
441,Taylor,HSR 2/3
447,Throckmorton,HSR 2/3
485,Wichita,HSR 2/3
487,Wilbarger,HSR 2/3
497,Wise,HSR 2/3
503,Young,HSR 2/3
1,Anderson,HSR 4/5N
5,Angelina,HSR 4/5N
37,Bowie,HSR 4/5N
63,Camp,HSR 4/5N
67,Cass,HSR 4/5N
73,Cherokee,HSR 4/5N
119,Delta,HSR 4/5N
159,Franklin,HSR 4/5N
183,Gregg,HSR 4/5N
203,Harrison,HSR 4/5N
213,Henderson,HSR 4/5N
223,Hopkins,HSR 4/5N
225,Houston,HSR 4/5N
241,Jasper,HSR 4/5N
277,Lamar,HSR 4/5N
315,Marion,HSR 4/5N
343,Morris,HSR 4/5N
347,Nacogdoches,HSR 4/5N
351,Newton,HSR 4/5N
365,Panola,HSR 4/5N
373,Polk,HSR 4/5N
379,Rains,HSR 4/5N
387,Red River,HSR 4/5N
401,Rusk,HSR 4/5N
403,Sabine,HSR 4/5N
405,San Augustine,HSR 4/5N
407,San Jacinto,HSR 4/5N
419,Shelby,HSR 4/5N
423,Smith,HSR 4/5N
449,Titus,HSR 4/5N
455,Trinity,HSR 4/5N
457,Tyler,HSR 4/5N
459,Upshur,HSR 4/5N
467,Van Zandt,HSR 4/5N
499,Wood,HSR 4/5N
15,Austin,HSR 6/5S
39,Brazoria,HSR 6/5S
71,Chambers,HSR 6/5S
89,Colorado,HSR 6/5S
157,Fort Bend,HSR 6/5S
167,Galveston,HSR 6/5S
199,Hardin,HSR 6/5S
201,Harris,HSR 6/5S
245,Jefferson,HSR 6/5S
291,Liberty,HSR 6/5S
321,Matagorda,HSR 6/5S
339,Montgomery,HSR 6/5S
361,Orange,HSR 6/5S
471,Walker,HSR 6/5S
473,Waller,HSR 6/5S
481,Wharton,HSR 6/5S
21,Bastrop,HSR 7
27,Bell,HSR 7
31,Blanco,HSR 7
35,Bosque,HSR 7
41,Brazos,HSR 7
51,Burleson,HSR 7
53,Burnet,HSR 7
55,Caldwell,HSR 7
99,Coryell,HSR 7
145,Falls,HSR 7
149,Fayette,HSR 7
161,Freestone,HSR 7
185,Grimes,HSR 7
193,Hamilton,HSR 7
209,Hays,HSR 7
217,Hill,HSR 7
281,Lampasas,HSR 7
287,Lee,HSR 7
289,Leon,HSR 7
293,Limestone,HSR 7
299,Llano,HSR 7
309,McLennan,HSR 7
313,Madison,HSR 7
331,Milam,HSR 7
333,Mills,HSR 7
395,Robertson,HSR 7
411,San Saba,HSR 7
453,Travis,HSR 7
477,Washington,HSR 7
491,Williamson,HSR 7
13,Atascosa,HSR 8
19,Bandera,HSR 8
29,Bexar,HSR 8
57,Calhoun,HSR 8
91,Comal,HSR 8
123,DeWitt,HSR 8
127,Dimmit,HSR 8
137,Edwards,HSR 8
163,Frio,HSR 8
171,Gillespie,HSR 8
175,Goliad,HSR 8
177,Gonzales,HSR 8
187,Guadalupe,HSR 8
239,Jackson,HSR 8
255,Karnes,HSR 8
259,Kendall,HSR 8
265,Kerr,HSR 8
271,Kinney,HSR 8
283,La Salle,HSR 8
285,Lavaca,HSR 8
323,Maverick,HSR 8
325,Medina,HSR 8
385,Real,HSR 8
463,Uvalde,HSR 8
465,Val Verde,HSR 8
469,Victoria,HSR 8
493,Wilson,HSR 8
507,Zavala,HSR 8
3,Andrews,HSR 9/10
33,Borden,HSR 9/10
43,Brewster,HSR 9/10
81,Coke,HSR 9/10
95,Concho,HSR 9/10
103,Crane,HSR 9/10
105,Crockett,HSR 9/10
109,Culberson,HSR 9/10
115,Dawson,HSR 9/10
135,Ector,HSR 9/10
141,El Paso,HSR 9/10
165,Gaines,HSR 9/10
173,Glasscock,HSR 9/10
227,Howard,HSR 9/10
229,Hudspeth,HSR 9/10
235,Irion,HSR 9/10
243,Jeff Davis,HSR 9/10
267,Kimble,HSR 9/10
301,Loving,HSR 9/10
307,McCulloch,HSR 9/10
317,Martin,HSR 9/10
319,Mason,HSR 9/10
327,Menard,HSR 9/10
329,Midland,HSR 9/10
371,Pecos,HSR 9/10
377,Presidio,HSR 9/10
383,Reagan,HSR 9/10
389,Reeves,HSR 9/10
413,Schleicher,HSR 9/10
431,Sterling,HSR 9/10
435,Sutton,HSR 9/10
443,Terrell,HSR 9/10
451,Tom Green,HSR 9/10
461,Upton,HSR 9/10
475,Ward,HSR 9/10
495,Winkler,HSR 9/10